MODULE;DATA_ID;WORKSHEET;CELL_REF;RC_CODE;TYPE;LENGTH;MONETARY;CLOSED_LIST;DEFAULT_LIST_VALUE;SHORT_DESCRIPTION;Comment
Participant information;INFO_ECON_NO;Basic input;E5;R5C5;C;32;N;;;ECON number;
Participant information;INFO_REPORT_DT;Basic input;E7;R7C5;D;10;N;;;Reporting reference year (Format: dd.mm.yyyy);"Abhängig von der Windowsländereinstellung des Users. Ein Eingabe von dd.mm.yyyy bei einer Ländereinstellung mit Datumsformat dd-mm-yyy wird als String ""dd.mm.yyyy"" in der Excelzelle, welche als Datum definiert ist, gespeichert."
Participant information;INFO_REPORT_CCY;Basic input;E8;R8C5;C;3;N;Reporting currencies;AED;Reporting currency used;
Participant information;INFO_REPORT_UNIT;Basic input;E9;R9C5;N;8;N;Reporting units;1;Reporting units used;
Participant information;INFO_TYPE_BUSINESS;Basic input;E11;R11C5;C;32;N;Type of business;Life;Type of business - please choose;
Participant information;INFO_TYPE_INSURANCE;Basic input;E12;R12C5;C;32;N;Type of insurance;Primary Insurance;Type of insurance - please choose;
Participant information;INFO_LTG_TRANS_MEASURE;Basic input;E14;R14C5;C;32;N;LTG or transitional measure;No measure;Long-term guarantee or transitional measure used;
Participant information;INFO_IR_MANUAL_INPUT;Basic input;I5;R5C9;C;1;N;Flag yes/no;no;IR - Use individual interest rate curve (flag);
Participant information;INFO_FX_MANUAL_INPUT;Basic input;I6;R6C9;C;1;N;Flag yes/no;no;FX - Use individual exchange rates (flag);
Participant information;INFO_MKT_ASSETS_MANUAL_INPUT;Basic input;I8;R8C9;C;1;N;Flag yes/no;no;Market risk - Override asset data with manual input (flag);
Participant information;INFO_CONC_ASSETS_MANUAL_INPUT;Basic input;I9;R9C9;C;1;N;Flag yes/no;no;Concentration risk - Override asset data with manual input (flag);Article 182-187 [2015/35/EU]
Participant information;INFO_CURR_ASSETS_MANUAL_INPUT;Basic input;I10;R10C9;C;1;N;Currency flags;Assets: MEAG BC - Liab: Manual BC;Currency risk - Override asset data with manual input (flag);
Participant information;INFO_CPTY_ASSETS_MANUAL_INPUT;Basic input;I12;R12C9;C;1;N;Flag yes/no;no;Counterparty default risk input - Override asset data with manual input (flag);
Participant information;INFO_ART112;Basic input;J545;R545C10;C;1;N;Flag yes/no;no;SF for Internal Model user (Article 112(7))? (y/n);
SCR;SCR_PRELIMINARY;Basic input;E46;R46C5;N;8;Y;;;Preliminary SCR;
MCR;MCR_LIF_NLF_BE_N_GUAR;MCR;K10;R10C11;N;8;Y;;;MCR - Life - Non-Life activities - Net BE - Contracts with profit participation clauses - Net best estimate liabilities for guaranteed benefits;
MCR;MCR_LIF_NLF_BE_N_UL;MCR;K12;R12C11;N;8;Y;;;MCR - Life - Non-Life activities - Net BE - Net best estimate liabilties for contracts where the policyholder bears the investment risk (UL);
MCR;MCR_LIF_NLF_BE_N_OTH;MCR;K13;R13C11;N;8;Y;;;MCR - Life - Non-Life activities - Net BE - Net best estimate liabilities for other contracts than above;
MCR;MCR_LIF_LIF_BE_N_GUAR;MCR;L10;R10C12;N;8;Y;;;MCR - Life - Life activities - Net BE - Contracts with profit participation clauses - Net best estimate liabilities for guaranteed benefits (w/o health SLT);
MCR;MCR_LIF_LIF_BE_N_UL;MCR;L12;R12C12;N;8;Y;;;MCR - Life - Life activities - Net BE - Net best estimate liabilties for contracts where the policyholder bears the investment risk (UL) (w/o health SLT);
MCR;MCR_LIF_LIF_BE_N_OTH;MCR;L13;R13C12;N;8;Y;;;MCR - Life - Life activities - Net BE - Net best estimate liabilities for other contracts than above (w/o health SLT);
MCR;MCR_NLF_NLF_PREM_WRIT_N_HESEG01;MCR;I14;R14C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Medical expense insurance;
MCR;MCR_NLF_NLF_PREM_WRIT_N_HESEG02;MCR;I15;R15C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Income protection insurance;
MCR;MCR_NLF_NLF_PREM_WRIT_N_HESEG03;MCR;I16;R16C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Workers' compensation insurance;
MCR;MCR_NLF_NLF_PREM_WRIT_N_HESEG04;MCR;I17;R17C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Non proportional health RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG01;MCR;I18;R18C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Motor vehicle liability insurance and proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG02;MCR;I19;R19C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Other motor insurance and proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG03;MCR;I20;R20C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Marine, aviation and transport insurance and proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG04;MCR;I21;R21C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Fire and other damage to property insurance and proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG05;MCR;I22;R22C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - General liability insurance and proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG06;MCR;I23;R23C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Credit and suretyship insurance and proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG07;MCR;I24;R24C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Legal expenses insurance and proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG08;MCR;I25;R25C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Assistance and its proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG09;MCR;I26;R26C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Misceallaneous financial loss insurance and proportional RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG10;MCR;I27;R27C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Non-proportional casualty RI;
MCR;MCR_NLF_NLF_PREM_WRIT_N_NLSEG11;MCR;I28;R28C9;N;8;Y;;;MCR - Non-Life - Non-Life activities - Net written premiums - Non-proportional marine, aviation and transport RI ;
